のぞみ453,down,◆,10月1・8・15・22・29日運転
のぞみ455,down,◆,10月29日運転
のぞみ257,down,☆,N700S車両で運転
のぞみ457,down,◆,10月8・15・22・24・29・31日運転
のぞみ461,down,◆,10月8・15日運転
のぞみ465,down,◆,10月1・3・8・10・15・17・22・24・29・31日運転
のぞみ467,down,◆,10月8・15日運転
のぞみ469,down,◆,10月10・17・22・24・29・31日運転
のぞみ473,down,◆,10月1・3・8～10・15～17・22・24・29・31日運転
こだま802,up,◆,土曜・休日運休
こだま806,up,◆,土曜・休日運休
こだま810,up,◆,土曜・休日運休
こだま816,up,◆,土曜・休日運休
こだま818,up,◆,土曜・休日運休
のぞみ204,up,☆,N700S車両で運転
のぞみ272,up,◆,10月9・16・23・30日運転
のぞみ206,up,◆,休日運休
のぞみ278,up,◆,10月8・15・22・23・29・30日運転
のぞみ208,up,◆,休日運休
のぞみ210,up,☆,N700S車両で運転
のぞみ212,up,◆,休日運休
のぞみ288,up,◆,10月8・15・16・22・23・29・30日運転
のぞみ290,up,◆,10月23・30日運転
のぞみ214,up,◆,休日運休
のぞみ298,up,◆,10月23・29・30日運転
のぞみ304,up,◆,10月8・9・15・16・22・23・29・30日運転
のぞみ218,up,◆,休日運休
のぞみ314,up,◆,10月23・30日運転
のぞみ220,up,◆,休日運休
のぞみ322,up,◆,10月22・23・30日運転
ひかり648,up,☆,N700S車両で運転
のぞみ338,up,◆,10月22・23・30日運転
こだま724,up,☆,N700S車両で運転
のぞみ354,up,◆,10月1・8・15・22・24・29・31日運転
のぞみ360,up,◆,10月22日運転
のぞみ374,up,◆,10月24・31日運転
のぞみ376,up,◆,10月1・3・8・10・15・17・22・24・29・31日運転
のぞみ384,up,◆,10月10・17・22・24・31日運転
のぞみ390,up,◆,10月3・10・17・22・24・31日運転
のぞみ392,up,◆,10月1・8・10・15・17・24・29・31日運転
のぞみ394,up,◆,10月22・24・29・31日運転
のぞみ396,up,◆,10月3・10・17・22・24・31日運転
のぞみ402,up,◆,10月3・10・17・22・24・29・31日運転
のぞみ406,up,◆,10月24・31日運転
のぞみ408,up,◆,10月1・8・10・15・17・22・24・31日運転
のぞみ236,up,☆,N700S車両で運転
のぞみ410,up,◆,10月1・3・8～10・15～17・22・24・29・31日運転
のぞみ414,up,◆,10月24・29・31日運転
のぞみ238,up,◆,土曜運休
のぞみ418,up,◆,10月8・10・15・17・22・24・29・31日運転
のぞみ242,up,☆,N700S車両で運転
のぞみ422,up,◆,10月1・3・8・10・15・17・22・24・29・31日運転
のぞみ426,up,◆,10月8・15・22・29日運転
こだま748,up,☆,N700S車両で運転
のぞみ244,up,◆,土曜運休
のぞみ430,up,◆,10月1・3・8・10・15・17・22・24・29・31日運転
のぞみ434,up,◆,10月8・10・15・17・22・24・29・31日運転
のぞみ440,up,◆,10月8・10・15・17・22・24・29・31日運転
のぞみ248,up,◆,土曜運休・但し、10月9・16日運転
のぞみ444,up,◆,10月1・8・15・22・29日運転
のぞみ446,up,◆,10月8・15・22・29日運転
のぞみ250,up,◆,10月1・3・8・10・15・17・22・24・29・31日運転
のぞみ450,up,◆,10月8・15・22・29日運転
こだま754,up,☆,N700S車両で運転
のぞみ456,up,◆,10月3・10・17・24・31日運転
のぞみ460,up,◆,10月8・15日運転
のぞみ254,up,◆,10月1・3・8・10・15・17・22・24・29・31日運転
のぞみ462,up,◆,10月1・3・8～10・15～17・22・24・29・31日運転
のぞみ464,up,◆,10月1・3・8～10・15～17・22・24・29・31日運転
ひかり668,up,☆,N700S車両で運転
のぞみ468,up,◆,10月3・8・10・15・17・22・24・29・31日運転
のぞみ470,up,◆,10月1・3・8～10・15～17・22～24・29～31日運転
