期間,20230508,20230630
のぞみ298,up,◆,5月[20]・[27]日運転
のぞみ212,up,◆,休日運休
こだま824,up,◆,5月13・20・27日・6月3・10・17・24日運転
のぞみ300,up,◆,5月16日・6月[10]・13・[16]・[22]・[23]・[24]日運転
のぞみ302,up,◆,5月10・11・[12]・13・14・[15]・[16]・17～20・[21]・22～27・29・[30]日・6月3・[6]・7～10・[14]・[15]・17・[20]・[21]・22・24日運転
のぞみ214,up,◆,休日運休・但し、5月21・28日・6月[11]・[18]・[25]日は運転
のぞみ304,up,◆,5月31日運転
のぞみ306,up,◆,5月[13]・[18]・[19]・20・[23]・[24]・[25]・[26]・27日・6月[6]・[7]・[8]・[10]・[17]・[24]日運転
のぞみ308,up,◆,5月[13]・[17]・[20]・[27]日・6月[3]日運転
のぞみ310,up,◆,5月13・[16]・[17]・[19]・[20]・[26]・[27]日・6月[3]・10・[24]日運転
のぞみ216,up,◆,5月9・10・[11]・[12]・13・[15]・16～20・22～27・29～31日・6月1・3・6・7・[8]・[9]・10・13・14・[15]・[16]・17・[22]・[23]・24日運転
のぞみ312,up,◆,5月[13]・[20]・[24]・[27]日・6月[17]・[24]日運転
のぞみ314,up,◆,5月8・[10]・11～21・[22]・[23]・24～27・29・[30]日・6月2・3・5・[7]・8～10・12・15～17・19～24・[26]・[27]・[28]・[29]・[30]日運転
のぞみ4,up,☆,N700S車両で運転
のぞみ316,up,◆,5月23・31日・6月6日運転
のぞみ218,up,◆,休日と5月20・27日は運休・但し、5月[14]・21・28日・6月[11]・[18]・[25]日は運転
のぞみ114,up,◆,5月20・27日運転
ひかり644,up,☆,N700S車両で運転
のぞみ318,up,◆,5月20・27日・6月[10]・[17]・[24]日運転
のぞみ84,up,◆,5月8～31日、6月1～30日は運休
のぞみ84,up,◆,5月8～31日・6月1～30日運転
のぞみ322,up,◆,5月[13]・[20]日・6月[3]・[9]・[10]・[24]日運転
ひかり670,up,◆,5月8～31日、6月1～30日は運休
ひかり502,up,◆,5月8～31日・6月1～30日運転
のぞみ326,up,◆,5月13・[19]・20・[25]・[26]・27日・6月3・10・[17]・24日運転
のぞみ220,up,◆,休日と5月13・20・27日、6月10・17・24日は運休・但し、5月[21]日は運転
のぞみ116,up,◆,5月13・20・27日・6月10・17・24日運転
ひかり646,up,☆,N700S車両で運転
のぞみ330,up,◆,5月[13]・[20]・[27]日・6月[10]・[17]・[24]日運転
のぞみ10,up,☆,N700S車両で運転
のぞみ120,up,◆,5月12・[13]・19・[20]・26・[27]・[28]日・6月3・[10]・[17]・[24]日運転
のぞみ340,up,◆,5月16・23・24・27日・6月3・10・11・13・[17]・[18]・[23]・24・[25]・[30]日運転
のぞみ14,up,☆,N700S車両で運転
のぞみ346,up,◆,5月[10]・[12]・13・14・[17]・[18]・[19]・20～22・25・[26]・27・[29]日・6月2・9・10・[15]・[16]・17・24日運転
のぞみ352,up,◆,6月[19]日運転
のぞみ128,up,◆,5月13・20・26・27日・6月[2]・3・[9]・10・[16]・17・[23]・24日運転
のぞみ356,up,◆,6月[3]日運転
のぞみ130,up,◆,6月[10]日運転
のぞみ360,up,◆,5月[16]・25日運転
のぞみ362,up,◆,5月[12]・[13]・14・[18]・19・[20]・21・[26]・[27]・[28]日・6月2・4・10・11・[17]・18・[24]・25・[30]日運転
のぞみ368,up,◆,5月[12]・19・[20]・[21]・23・[26]・[27]・28日・6月2・4・9・[10]・11・[17]・18・[22]・[23]・25日運転
のぞみ136,up,◆,6月[24]日運転
こだま726,up,☆,N700S車両で運転
のぞみ372,up,◆,5月11・[14]・16・18・20・25～27・29・30日・6月[2]・[4]・11・[12]・[15]日運転
のぞみ376,up,◆,5月[13]・19日・6月3・10・24日運転
のぞみ378,up,◆,5月[12]・14・21・[26]日・6月16～18・[19]・23・25・[27]・[28]・[29]・30日運転
のぞみ380,up,◆,5月[28]日・6月[9]日運転
のぞみ386,up,◆,5月[26]・[27]日運転
のぞみ388,up,◆,5月[21]・[22]・25・26・[29]日・6月4・11・18・25日運転
のぞみ390,up,◆,5月8・[11]・[12]・[13]・14・[16]・17～21・24・27・28・31日・6月2～12・[13]・14～19・[20]・[21]・22～26・[27]・[28]・[29]・30日運転
のぞみ392,up,◆,6月9日運転
のぞみ394,up,◆,5月12・14・19・21・26・28日・6月[2]・4・[9]・[10]・11・16・[17]・18・23・25・[30]日運転
のぞみ396,up,◆,6月[11]・[25]日運転
のぞみ398,up,◆,6月4日運転
のぞみ150,up,◆,6月[18]日運転
のぞみ400,up,◆,5月12・14・[15]・17～19・[20]・21・24～26・[27]・28・31日・6月2・4・5・[6]・7～12・14・15・[16]・17～23・25・[27]・[28]・[29]・30日運転
のぞみ28,up,☆,N700S車両で運転
のぞみ402,up,◆,5月[14]・[19]・[21]・[22]・[25]・[26]・[28]・[29]日・6月[11]日運転
のぞみ404,up,◆,5月[21]・[28]日・6月[9]・11・16・18・25日運転
のぞみ408,up,◆,5月[12]・[14]・[19]・21・[26]・28日・6月[2]・[3]・4・9・11・18・[23]・25日運転
のぞみ410,up,◆,5月[26]日・6月[4]・[11]・[18]・[25]日運転
のぞみ412,up,◆,6月[11]・[18]日運転
のぞみ414,up,◆,5月12・[18]・19・[25]・[27]日・6月2・4・[7]・9・11・18・25・[30]日運転
のぞみ160,up,◆,5月[14]・[21]・[26]・[28]日・6月[16]・[23]日運転
こだま738,up,☆,N700S車両で運転
のぞみ416,up,◆,5月[14]・[26]・[28]日・6月[25]日運転
のぞみ418,up,◆,5月[12]・14・21・26・[28]日・6月4・[9]・11・16・18・23・25日運転
のぞみ34,up,☆,N700S車両で運転
のぞみ420,up,◆,5月8～11・15～18・22～25・29～31日・6月1・5～8・12～15・19～22・26～29日運転
のぞみ236,up,◆,5月21・26・28日は運休
のぞみ164,up,◆,5月21・26・28日運転
のぞみ422,up,◆,5月[11]・12・14・[16]・[17]・18・19・21・24～26・28・[31]日・6月2・4・[6]・[8]・9・11・[12]・[14]・15・16・18・[19]・[20]・[21]・[22]・23・25・[27]・[28]・[29]・30日運転
のぞみ424,up,◆,5月[19]・[21]・28日・6月[4]・11・[18]・[25]日運転
のぞみ238,up,◆,5月12・18・25日・6月2・[5]・[8]・30日運転
のぞみ168,up,◆,5月[28]日運転
のぞみ168,up,◆,5月14・[19]・[21]・[26]日・6月4・9・11・16・18・23・25日運転
のぞみ428,up,◆,5月[14]・[19]・[26]・[28]日・6月[4]・[11]・[18]・[25]日運転
のぞみ430,up,◆,5月12・[14]・19・21・26・28日・6月2・4・9・11・16・18・[23]・25・[30]日運転
のぞみ170,up,◆,5月[24]日運転
のぞみ170,up,◆,5月[15]・[18]日・6月[15]・[22]日運転
のぞみ38,up,☆,N700S車両で運転
のぞみ242,up,◆,5月14・19・21・26・28日、6月2日は運休
のぞみ172,up,◆,5月14・19・21・26・28日・6月2日運転
のぞみ434,up,◆,5月10～12・14・16～19・21～26・28～31日・6月1・2・4・6～9・11～16・18～23・25～30日運転
のぞみ436,up,◆,5月[12]・19・21・26・28日・6月[4]・[9]・11・[16]・18・[23]・[25]日運転
こだま746,up,☆,N700S車両で運転
のぞみ440,up,◆,5月[12]・[14]・[19]・[21]・[26]・[28]日・6月[4]・[9]・[11]・[16]・[18]・[23]・[25]日運転
のぞみ442,up,◆,5月12・[14]日・6月2日運転
のぞみ176,up,◆,5月19・26・[28]日運転
のぞみ176,up,◆,5月21日・6月4・9・11・16・18・23・25・30日運転
のぞみ244,up,◆,土曜運休・但し、6月[3]日は運転
のぞみ44,up,☆,N700S車両で運転
のぞみ444,up,◆,5月[19]・[26]日・6月[16]日運転
のぞみ246,up,◆,5月14・19・21・26・28日、6月2・4・9・11・18・25日は運休
のぞみ178,up,◆,5月14日運転
のぞみ178,up,◆,5月19・21・26・28日・6月2・4・9・11・18・25日運転
のぞみ446,up,◆,5月12・14・17・[18]・19・21・[24]・25・26・28日・6月2・4・[8]・9・11・[15]・16・18・[22]・23・25・[30]日運転
のぞみ448,up,◆,5月[12]・19・[21]・26・28日・6月[2]・[4]・[9]・11・16・18・[23]・25・[30]日運転
のぞみ450,up,◆,5月[26]日・6月[9]・[11]・[16]・[18]・[23]日運転
こだま750,up,☆,N700S車両で運転
のぞみ452,up,◆,5月[12]・[19]・[21]・[25]・[26]・[28]日・6月[4]・[25]日運転
のぞみ454,up,◆,5月[12]・[14]・19・26日・6月2・4・9・11・18・25・[30]日運転
のぞみ182,up,◆,5月21・28日・6月16・23日運転
のぞみ248,up,◆,土曜運休・但し、6月[3]日は運転
のぞみ50,up,☆,N700S車両で運転
のぞみ250,up,◆,5月12・14・19・21・26・28日、6月2・4・9・11・18・25・30日は運休
のぞみ184,up,◆,5月12・14・19・21・26・28日・6月2・4・9・11・18・25・30日運転
のぞみ456,up,◆,5月[12]・[19]・[21]・[26]・28日・6月[2]・[4]・[9]・11・16・18・[23]・[25]・[30]日運転
のぞみ458,up,◆,5月12・14・[18]・19・21・26・28日・6月2・4・[8]・9・11・[15]・16・18・[22]・23・25・30日運転
のぞみ460,up,◆,5月[19]日運転
のぞみ186,up,◆,6月[16]日運転
のぞみ462,up,◆,5月14・[18]日・6月2・30日運転
のぞみ188,up,◆,5月[12]・[19]・21・[26]・28日・6月[4]・9・[11]・16・[18]・23・[25]日運転
のぞみ54,up,☆,N700S車両で運転
のぞみ466,up,◆,5月[12]・14・19・21・26・28日・6月2・4・[9]・11・[16]・18・[23]・25日運転
のぞみ252,up,◆,5月28日は運休
のぞみ190,up,◆,5月28日運転
のぞみ468,up,◆,5月[21]・[26]・[28]日運転
のぞみ254,up,◆,土曜と5月19・21・26・28日、6月2・4・9・11・16・18・23・25日は運休・但し、5月[13]・[20]・[27]日・6月[3]・[10]・17・[24]日は運転
のぞみ192,up,◆,5月26日運転
のぞみ192,up,◆,5月19・21・28日・6月2・4・9・11・16・18・23・25日運転
のぞみ470,up,◆,5月[21]・28日・6月4・[9]・11・[16]・18・[23]・25日運転
ひかり666,up,☆,N700S車両で運転
のぞみ472,up,◆,5月12・14・[17]・18・19・21・[25]・26・28日・6月[2]・4・[8]・9・11・[15]・16・18・22・23・25・30日運転
のぞみ474,up,◆,5月[14]日・6月[4]・[18]日運転
のぞみ476,up,◆,5月[12]・14・[19]・21・[26]・28日・6月[2]・4・9・11・[16]・18・[23]・25日運転
のぞみ478,up,◆,5月14・21・[28]日・6月4・11・18・25日運転
のぞみ480,up,◆,5月[10]・[13]・[17]・[18]・19・[20]・21・[25]・26・[27]・28日・6月2～4・[7]・8・9・[10]・11・[14]・15～18・[20]・[21]・22～26・[27]・[28]・[29]・30日運転
のぞみ196,up,◆,5月12・14日運転
こだま764,up,☆,N700S車両で運転
のぞみ62,up,☆,N700S車両で運転
のぞみ482,up,◆,5月14・21・[26]・28日・6月2・4・9・16・23・30日運転
のぞみ198,up,◆,5月19日運転
のぞみ198,up,◆,6月[11]・[18]・[25]日運転
回送980,up,◆,5月9・20・29日運転
